province,report_date,daily_moderna,daily_pfizer,daily_other,daily_total,weekly_moderna,weekly_pfizer,weekly_other,weekly_total,moderna_cumulative,pfizer_cumulative,other_cumulative,total_cumulative
Canada,07-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","32,684,971","34,341,573",0,"67,026,544"
Canada,08-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","33,026,767","34,593,184",0,"67,619,951"
Canada,09-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","33,368,563","34,844,794",0,"68,213,357"
Canada,10-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","33,710,359","35,096,405",0,"68,806,764"
Canada,11-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","34,052,155","35,348,015",0,"69,400,171"
Canada,12-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","34,393,951","35,599,626",0,"69,993,577"
Canada,13-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","34,735,748","35,851,236",0,"70,586,984"
Canada,14-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","35,077,544","36,102,847",0,"71,180,390"
Canada,15-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","35,419,340","36,354,457",0,"71,773,797"
Canada,16-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","35,761,136","36,606,068",0,"72,367,204"
Canada,17-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","36,102,932","36,857,678",0,"72,960,610"
Canada,18-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","36,444,728","37,109,289",0,"73,554,017"
Canada,19-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","36,786,524","37,360,899",0,"74,147,423"
Canada,20-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","37,128,321","37,612,509",0,"74,740,830"
Canada,21-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","37,470,117","37,864,120",0,"75,334,237"
Canada,22-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","37,811,913","38,115,730",0,"75,927,643"
Canada,23-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","38,153,709","38,367,341",0,"76,521,050"
Canada,24-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","38,495,505","38,618,951",0,"77,114,456"
Canada,25-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","38,837,301","38,870,562",0,"77,707,863"
Canada,26-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","39,179,097","39,122,172",0,"78,301,270"
Canada,27-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","39,520,893","39,373,783",0,"78,894,676"
Canada,28-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","39,862,690","39,625,393",0,"79,488,083"
Canada,29-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","40,204,486","39,877,004",0,"80,081,489"
Canada,30-09-2021,"341,796","251,610",0,"593,407","2,392,573","1,761,273",,"4,153,846","40,546,282","40,128,614",0,"80,674,896"
